algorithm,timestamp,keys_in_memory
SLIDING,1029.6000000000067,669
TUMBLING,1030.0,694
SLIDING,1030.0000000000068,679
SLIDING,1030.600000000007,766
SLIDING,1031.000000000007,825
SLIDING,1031.6000000000072,877
SLIDING,1032.0000000000073,888
SLIDING,1032.6000000000074,901
SLIDING,1033.0000000000075,895
SLIDING,1033.6000000000076,852
SLIDING,1034.0000000000077,810
SLIDING,1034.6000000000079,720
TUMBLING,1035.0,705
SLIDING,1035.000000000008,688
SLIDING,1035.600000000008,695
SLIDING,1036.0000000000082,698
SLIDING,1036.6000000000083,700
SLIDING,1037.0000000000084,700
SLIDING,1037.6000000000085,693
SLIDING,1038.0000000000086,689
SLIDING,1038.6000000000088,689
SLIDING,1039.0000000000089,695
SLIDING,1039.600000000009,694
SLIDING,1040.000000000009,700
TUMBLING,1040.0,711
SLIDING,1040.6000000000092,789
SLIDING,1041.0000000000093,834
SLIDING,1041.6000000000095,893
SLIDING,1042.0000000000095,906
SLIDING,1042.6000000000097,906
SLIDING,1043.0000000000098,897
SLIDING,1043.60000000001,862
SLIDING,1044.00000000001,828
SLIDING,1044.6000000000101,746
SLIDING,1045.0000000000102,706
TUMBLING,1045.0,719
SLIDING,1045.6000000000104,699
SLIDING,1046.0000000000105,704
SLIDING,1046.6000000000106,691
SLIDING,1047.0000000000107,694
SLIDING,1047.6000000000108,682
SLIDING,1048.000000000011,687
SLIDING,1048.600000000011,693
SLIDING,1049.0000000000111,694
SLIDING,1049.6000000000113,692
TUMBLING,1050.0,707
SLIDING,1050.0000000000114,696
SLIDING,1050.6000000000115,799
SLIDING,1051.0000000000116,856
SLIDING,1051.6000000000117,903
SLIDING,1052.0000000000118,911
SLIDING,1052.600000000012,903
SLIDING,1053.000000000012,894
SLIDING,1053.6000000000122,863
SLIDING,1054.0000000000123,830
SLIDING,1054.6000000000124,741
SLIDING,1055.0000000000125,703
TUMBLING,1055.0,722
SLIDING,1055.6000000000126,688
SLIDING,1056.0000000000127,689
SLIDING,1056.6000000000129,708
SLIDING,1057.000000000013,717
SLIDING,1057.600000000013,718
SLIDING,1058.0000000000132,715
SLIDING,1058.6000000000133,701
SLIDING,1059.0000000000134,691
SLIDING,1059.6000000000136,699
SLIDING,1060.0000000000136,701
TUMBLING,1060.0,716
SLIDING,1060.6000000000138,795
SLIDING,1061.0000000000139,832
SLIDING,1061.600000000014,866
SLIDING,1062.000000000014,892
SLIDING,1062.6000000000142,913
SLIDING,1063.0000000000143,898
SLIDING,1063.6000000000145,858
SLIDING,1064.0000000000146,814
SLIDING,1064.6000000000147,733
TUMBLING,1065.0,719
SLIDING,1065.0000000000148,700
SLIDING,1065.600000000015,694
SLIDING,1066.000000000015,704
SLIDING,1066.6000000000151,704
SLIDING,1067.0000000000152,707
SLIDING,1067.6000000000154,703
SLIDING,1068.0000000000155,698
SLIDING,1068.6000000000156,692
SLIDING,1069.0000000000157,679
SLIDING,1069.6000000000158,685
TUMBLING,1070.0,706
SLIDING,1070.000000000016,694
SLIDING,1070.600000000016,775
SLIDING,1071.0000000000161,823
SLIDING,1071.6000000000163,872
SLIDING,1072.0000000000164,901
